id,statement,statement_originator,model,fact1,fact1_label,fact2,fact2_label,fact3,fact3_label,chosen_fact,chosen_fact_label,chosen_fact_score,statement_verification_label,statement_verification_justification,original_true_false
1,"""Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasn’t had an impact.""",Ron Johnson,mistralai/Mistral-7B-Instruct-v0.2,"Prior to Obamacare in Wisconsin, 95 percent of Wisconsinites were covered by insurance.",high,"After Obamacare in Wisconsin, 95 percent of Wisconsinites were covered by insurance.",high,It hasn't had an impact.,low,"Prior to Obamacare in Wisconsin, 95 percent of Wisconsinites were covered by insurance.",high,100,Verified,The statement accurately reflects the initial coverage rate before Obamacare.,False
2,"""CDC officials admit more hospitalizations of young people from vaccine than from the actual COVID virus.""",Instagram posts,mistralai/Mistral-7B-Instruct-v0.2,CDC officials admit hospitalizations of young people from the vaccine,high,hospitalizations of young people from the vaccine are more than from the actual COVID virus,high,CDC officials admit hospitalizations from the actual COVID virus,low,CDC officials admit hospitalizations of young people from the vaccine,high,100,Uncertain,The statement requires specific data and context to verify its accuracy.,False
3,"The Texas leg of the Keystone pipeline ""has already created 4,800 jobs in just the year it's been up and running.""",John Cornyn,mistralai/Mistral-7B-Instruct-v0.2,The Texas leg of the Keystone pipeline has been up and running for a year,high,The Texas leg of the Keystone pipeline has created jobs,medium,"The Texas leg of the Keystone pipeline created 4,800 jobs",high,The Texas leg of the Keystone pipeline has been up and running for a year,high,100,Verified,"John Cornyn's statement is supported by the fact that the Texas leg of the Keystone pipeline created 4,800 jobs.",False
4,"""When you look for a job, you can't find it and you give up. You are now considered statistically employed.""",Donald Trump,mistralai/Mistral-7B-Instruct-v0.2,"The statement suggests that when one looks for a job and cannot find it, they give up.",medium,"The statement implies that when one gives up in their job search, they are considered statistically employed.",low,The statement asserts that being statistically employed means one has stopped looking for a job.,high,The statement asserts that being statistically employed means one has stopped looking for a job.,high,100,Likely false,"Statistical employment typically refers to being included in the labor force but not currently employed, not to those who have given up looking for work.",False
5,"""Creeping defense commitments in (the Middle East) and globally now consume over half the U.S. discretionary budget annually.""",Marcy Kaptur,mistralai/Mistral-7B-Instruct-v0.2,The defense commitments in the Middle East consume a significant portion of the U.S. discretionary budget annually.,high,Defense commitments globally consume a significant portion of the U.S. discretionary budget annually.,high,Over half of the U.S. discretionary budget is consumed by defense commitments annually.,high,The defense commitments in the Middle East consume a significant portion of the U.S. discretionary budget annually.,high,100,Verified,The statement aligns with the chosen fact.,True
6,"As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""",Bill Richardson,mistralai/Mistral-7B-Instruct-v0.2,Bill Richardson served as Secretary of the Department of Energy under former President Bill Clinton,high,Bill Richardson created reserves of home heating oil,medium,The reserves of home heating oil were created during Bill Clinton's presidency,high,Bill Richardson served as Secretary of the Department of Energy under former President Bill Clinton,high,60,Verified,Statement aligns with historical record,True
7,"""Due to the large number of people who will refuse the forthcoming COVID-19 vaccine because it will include tracking microchips, the Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,,,,,,,,,0,Uncertain,JSON parse error from model output.,False
8,"German chemist Andreas Noack was ""assassinated just hours after publishing the secret of the vax by government operatives.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Andreas Noack was a German chemist.,high,Andreas Noack published something related to the vax.,medium,Andreas Noack was assassinated by government operatives.,low,Andreas Noack was a German chemist.,high,100,Uncertain,No evidence provided to support the claim of assassination by government operatives.,False
9,"Says Merrick Garland is investigating Donald Trump’s ""tax evasion case.""",Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,Merrick Garland is investigating a case.,medium,The case being investigated by Merrick Garland is related to Donald Trump.,medium,The case being investigated by Merrick Garland is tax evasion.,low,Merrick Garland is investigating a case.,medium,60,Uncertain,"As of the provided statement, there is no official confirmation that Merrick Garland is investigating Donald Trump for tax evasion.",False
10,"""I had prostate cancer, five, six years ago. My chance of surviving prostate cancer, and thank God I was cured of it, in the United States, 82%. My chances of surviving prostate cancer in England, only 44% under socialized medicine.""",Rudy Giuliani,mistralai/Mistral-7B-Instruct-v0.2,Rudy Giuliani had prostate cancer five to six years ago.,high,The chance of surviving prostate cancer in the United States is 82%.,high,The chance of surviving prostate cancer in England under socialized medicine is 44%.,high,Rudy Giuliani had prostate cancer five to six years ago.,high,100,Verified,The statement is a direct quote from the speaker's medical history and survival rate statistics.,False
11,Says 11 soccer players on the U.S. Men’s National Team are immigrants.,Nancy Pelosi,mistralai/Mistral-7B-Instruct-v0.2,11 soccer players on the U.S. Men’s National Team are immigrants,high,The speaker is Nancy Pelosi,low,The statement refers to the U.S. Men’s National Team,medium,11 soccer players on the U.S. Men’s National Team are immigrants,high,100,Verified,The statement can be verified by checking the biographies of the players on the U.S. Men’s National Team.,False
12,"""We have 80,000 abortions in Texas every year.""",Dan Patrick,mistralai/Mistral-7B-Instruct-v0.2,"There are approximately 80,000 abortions in Texas every year",high,The speaker is Dan Patrick,low,The number of abortions in Texas may vary slightly from year to year,medium,"There are approximately 80,000 abortions in Texas every year",high,100,Verified,"According to the Texas Department of State Health Services, the number of reported abortions in Texas has been around 80,000 per year in recent years.",True
13,"As a result of climate change, ice fishermen in Wisconsin ""are already noticing fewer days they can be out on our ice covered lakes.""",Mark Pocan,mistralai/Mistral-7B-Instruct-v0.2,Ice fishermen in Wisconsin are noticing fewer days they can be out on ice covered lakes due to climate change,high,Climate change is causing fewer days for ice fishing in Wisconsin,high,Ice covered lakes in Wisconsin are decreasing due to climate change,medium,Ice fishermen in Wisconsin are noticing fewer days they can be out on ice covered lakes due to climate change,high,100,Verified,Supported by scientific evidence on climate change impacting ice conditions,True
14,"""Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.""",Ted Cruz,mistralai/Mistral-7B-Instruct-v0.2,Donald Trump and Hillary Clinton have the same position on health care.,medium,Donald Trump and Bernie Sanders have the same position on health care.,low,They want to put the government in charge of you and your doctor.,high,They want to put the government in charge of you and your doctor.,high,100,Uncertain,Claim oversimplifies the complex health care positions of the mentioned politicians.,False
15,"Says Joe Biden ""has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.""",Marco Rubio,mistralai/Mistral-7B-Instruct-v0.2,Joe Biden has issued more executive orders than any president in a short period of time.,high,Joe Biden has issued more executive orders than President Obama in a short period of time.,high,Joe Biden has issued more executive orders than President Trump in a short period of time.,high,Joe Biden has issued more executive orders than any president in a short period of time.,high,100,Verified,Data can be verified by checking the number of executive orders issued by each president.,True
16,229 Christian missionaries were sentenced to death in Afghanistan.,Facebook posts,mistralai/Mistral-7B-Instruct-v0.2,229 Christian missionaries were sentenced to death in Afghanistan.,high,The sentence was issued by the Afghan government.,medium,The sentence was issued for religious conversion activities.,high,229 Christian missionaries were sentenced to death in Afghanistan.,high,100,Uncertain,Verification of the exact number and sentencing of Christian missionaries in Afghanistan is difficult due to conflicting reports and lack of official confirmation.,False
