id,statement,statement_originator,model,fact1,fact1_label,fact2,fact2_label,fact3,fact3_label,chosen_fact,chosen_fact_label,chosen_fact_score,statement_verification_label,statement_verification_justification,original_true_false
1,"""Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasn’t had an impact.""",Ron Johnson,models/gemini-2.5-pro,"Prior to Obamacare, 95 percent of Wisconsinites were covered by insurance.",high,"After Obamacare, 95 percent of Wisconsinites were covered by insurance.",high,Obamacare has not had an impact on insurance coverage in Wisconsin.,high,"Prior to Obamacare, 95 percent of Wisconsinites were covered by insurance.",high,95,Likely false,"Prior to Obamacare in 2013, Wisconsin's insured rate was approximately 91%, not the stated 95%.",False
2,"""CDC officials admit more hospitalizations of young people from vaccine than from the actual COVID virus.""",Instagram posts,models/gemini-2.5-pro,CDC officials have admitted to a claim regarding vaccine and virus hospitalizations in young people.,high,More young people are hospitalized from the COVID-19 vaccine than from the COVID-19 virus.,high,The COVID-19 vaccine can cause hospitalizations in young people.,medium,CDC officials have admitted to a claim regarding vaccine and virus hospitalizations in young people.,high,5,Likely false,Data shows COVID-19 infection poses a much higher risk of hospitalization for young people than the vaccine.,False
3,"The Texas leg of the Keystone pipeline ""has already created 4,800 jobs in just the year it's been up and running.""",John Cornyn,models/gemini-2.5-pro,The Texas leg of the Keystone pipeline has been up and running for a year.,high,"The Texas leg of the Keystone pipeline created 4,800 jobs.",high,"The 4,800 jobs were created in the year the pipeline has been up and running.",high,The Texas leg of the Keystone pipeline has been up and running for a year.,high,20,Likely false,"The 4,800 jobs were temporary construction roles, not permanent jobs created during the pipeline's operation.",False
4,"""When you look for a job, you can't find it and you give up. You are now considered statistically employed.""",Donald Trump,models/gemini-2.5-pro,People who give up looking for a job are considered statistically employed.,high,Giving up a job search changes your statistical classification.,medium,Official statistics categorize people who have given up a job search.,low,People who give up looking for a job are considered statistically employed.,high,95,Likely false,"People who stop looking for work are counted as 'not in the labor force,' not 'employed'.",False
5,"""Creeping defense commitments in (the Middle East) and globally now consume over half the U.S. discretionary budget annually.""",Marcy Kaptur,models/gemini-2.5-pro,Defense commitments consume over half the U.S. discretionary budget annually.,high,The U.S. has defense commitments in the Middle East.,high,The U.S. has defense commitments globally.,high,Defense commitments consume over half the U.S. discretionary budget annually.,high,95,Verified,CBO data shows defense spending has recently accounted for over 50% of the annual discretionary budget.,True
6,"As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""",Bill Richardson,models/gemini-2.5-pro,Bill Richardson was secretary of the Department of Energy.,high,Bill Richardson served under former President Bill Clinton.,high,Bill Richardson created reserves of home heating oil.,high,Bill Richardson was secretary of the Department of Energy.,high,100,Verified,The Northeast Home Heating Oil Reserve was established in 2000 while Richardson was Secretary of Energy.,True
7,"""Due to the large number of people who will refuse the forthcoming COVID-19 vaccine because it will include tracking microchips, the Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips.""",Facebook posts,models/gemini-2.5-pro,Forthcoming COVID-19 vaccines will include tracking microchips.,high,The Gates Foundation is spending billions to ensure all medical and dental injections include tracking chips.,high,A large number of people will refuse the COVID-19 vaccine due to belief in tracking microchips.,medium,Forthcoming COVID-19 vaccines will include tracking microchips.,high,95,Likely false,This claim is a widely debunked conspiracy theory with no supporting evidence.,False
8,"German chemist Andreas Noack was ""assassinated just hours after publishing the secret of the vax by government operatives.""",Facebook posts,models/gemini-2.5-pro,German chemist Andreas Noack was assassinated.,high,Noack died hours after publishing information about vaccines.,high,Government operatives were responsible for Noack's death.,high,German chemist Andreas Noack was assassinated.,high,5,Likely false,His partner stated he died of a heart attack; police have not treated his death as suspicious.,False
9,"Says Merrick Garland is investigating Donald Trump’s ""tax evasion case.""",Facebook posts,models/gemini-2.5-pro,Merrick Garland is the U.S. Attorney General.,low,The Department of Justice is investigating Donald Trump.,high,The investigation led by Merrick Garland is for a 'tax evasion case'.,high,The Department of Justice is investigating Donald Trump.,high,100,Likely false,"The prominent tax investigation against Trump is a state case, not a federal one led by Garland.",False
10,"""I had prostate cancer, five, six years ago. My chance of surviving prostate cancer, and thank God I was cured of it, in the United States, 82%. My chances of surviving prostate cancer in England, only 44% under socialized medicine.""",Rudy Giuliani,models/gemini-2.5-pro,Rudy Giuliani had prostate cancer five or six years prior to the statement.,low,The chance of surviving prostate cancer in the United States is 82%.,high,The chance of surviving prostate cancer in England is 44%.,high,The chance of surviving prostate cancer in the United States is 82%.,high,95,Likely false,Official US data shows the 5-year prostate cancer survival rate was nearly 99% at the time.,False
11,Says 11 soccer players on the U.S. Men’s National Team are immigrants.,Nancy Pelosi,models/gemini-2.5-pro,The U.S. Men's National Team includes players who are immigrants.,high,The number of immigrant players on the U.S. Men's National Team is 11.,high,Nancy Pelosi made a statement about the number of immigrants on the U.S. Men's National Team.,medium,The U.S. Men's National Team includes players who are immigrants.,high,95,Likely false,"The 2014 World Cup team, which Pelosi's office later cited, had five foreign-born players, not eleven.",False
12,"""We have 80,000 abortions in Texas every year.""",Dan Patrick,models/gemini-2.5-pro,"The number of annual abortions in Texas is 80,000.",high,Abortions are performed in the state of Texas.,low,"The quantity of abortions is a specific number (80,000).",high,"The number of annual abortions in Texas is 80,000.",high,95,Likely false,"Official data shows the annual number has been significantly lower than 80,000 for over a decade.",True
13,"As a result of climate change, ice fishermen in Wisconsin ""are already noticing fewer days they can be out on our ice covered lakes.""",Mark Pocan,models/gemini-2.5-pro,Ice fishermen in Wisconsin are noticing fewer days they can be out on ice covered lakes.,medium,The number of days Wisconsin lakes are covered in ice is decreasing.,high,The decrease in ice-covered days on Wisconsin lakes is a result of climate change.,medium,The number of days Wisconsin lakes are covered in ice is decreasing.,high,95,Verified,"Historical data confirms Wisconsin lakes have significantly fewer ice-covered days, consistent with the statement's claim.",True
14,"""Donald Trump and Hillary Clinton and Bernie Sanders have the identical position on health care, which is they want to put the government in charge of you and your doctor.""",Ted Cruz,models/gemini-2.5-pro,"Donald Trump, Hillary Clinton and Bernie Sanders have the identical position on health care.",high,Bernie Sanders' position is to put the government in charge of you and your doctor.,high,Donald Trump's position is to put the government in charge of you and your doctor.,medium,"Donald Trump, Hillary Clinton and Bernie Sanders have the identical position on health care.",high,95,Likely false,The three candidates proposed distinct and conflicting healthcare plans during the 2016 election cycle.,False
15,"Says Joe Biden ""has issued more executive fiats than anyone in such a short period of time, ever, more than Obama, more than Trump, more than anyone.""",Marco Rubio,models/gemini-2.5-pro,Joe Biden has issued more executive fiats in a short period of time than Trump.,high,Joe Biden has issued more executive fiats in a short period of time than Obama.,high,"Joe Biden has issued more executive fiats than anyone in such a short period of time, ever.",high,Joe Biden has issued more executive fiats in a short period of time than Trump.,high,95,Likely false,Historical data shows President Truman issued more executive orders in his first month in office.,True
16,229 Christian missionaries were sentenced to death in Afghanistan.,Facebook posts,models/gemini-2.5-pro,A group of missionaries were in Afghanistan.,medium,The number of missionaries involved was 229.,high,229 Christian missionaries were sentenced to death in Afghanistan.,high,The number of missionaries involved was 229.,high,95,Likely false,"This is a long-running, widely debunked hoax with no evidence to support the claim.",False
17,"In President Barack Obama’s 2015 State of the Union address, ""the words ‘al-Qaida’ were never used, the first time those words have not been used in a State of the Union address since February 2001.""",Bret Baier,models/gemini-2.5-pro,President Barack Obama gave a State of the Union address in 2015.,low,The words ‘al-Qaida’ were not used in Obama's 2015 State of the Union address.,high,The words 'al-Qaida' had not been omitted from a SOTU address since February 2001.,high,The words ‘al-Qaida’ were not used in Obama's 2015 State of the Union address.,high,100,Verified,Speech transcripts confirm the phrase 'al-Qaida' was absent from the 2015 address for the first time since 2001.,True
18,"""Our doctors get more money if somebody dies from COVID. … So what they do is they say, ‘I'm sorry, but, you know, everybody dies of COVID.’""",Donald Trump,models/gemini-2.5-pro,Our doctors get more money if somebody dies from COVID.,high,Doctors say 'everybody dies of COVID.',medium,A financial incentive exists for doctors to attribute a death to COVID.,high,Our doctors get more money if somebody dies from COVID.,high,5,Likely false,"Hospitals, not doctors, received increased Medicare payments for treating COVID-19 patients, not specifically for deaths.",False
19,An audio message lists five ways people can prevent the novel coronavirus.,Chain message,models/gemini-2.5-pro,An audio message is circulating.,low,The message lists ways to prevent the novel coronavirus.,medium,The audio message lists five ways to prevent the novel coronavirus.,high,The audio message lists five ways to prevent the novel coronavirus.,high,95,Uncertain,The audio message's contents cannot be verified without access to the message itself.,False
20,"""Nobody’s health is at risk right now"" from PFAS contamination, as long as they are receiving bottled drinking water",Scott Manley,models/gemini-2.5-pro,People affected by the PFAS contamination are receiving bottled drinking water.,medium,Drinking bottled water eliminates the health risks associated with PFAS contamination.,high,PFAS contamination does not put anyone's health at risk right now.,high,Drinking bottled water eliminates the health risks associated with PFAS contamination.,high,95,Likely false,"PFAS exposure also occurs through food and dust, so health risks are not fully eliminated.",False
21,"""When I was U.S. Attorney we wound up putting 10 percent of the state Legislature in jail during my seven years.""",Chris Christie,models/gemini-2.5-pro,Chris Christie was U.S. Attorney.,low,His tenure as U.S. Attorney was seven years.,low,10 percent of the state Legislature was put in jail during his tenure.,high,10 percent of the state Legislature was put in jail during his tenure.,high,45,Likely false,The number of legislators jailed was an exaggeration and less than the 10 percent claimed.,False
22,"The Southern strategy is a ""myth"" that ""never happened.""",Candace Owens,models/gemini-2.5-pro,The term 'Southern strategy' refers to a Republican Party electoral strategy to win over white southern voters.,medium,Republican strategist Lee Atwater acknowledged the use of the Southern strategy in a 1981 interview.,high,Historians and political scientists widely document the Southern strategy as a real political phenomenon.,high,Republican strategist Lee Atwater acknowledged the use of the Southern strategy in a 1981 interview.,high,100,Likely false,"Key Republican strategists, like Lee Atwater, have openly admitted to the strategy's existence and use.",False
23,Says Josh Mandel’s campaign is under FBI investigation,Workers' Voice,models/gemini-2.5-pro,Josh Mandel’s campaign is under FBI investigation.,high,The statement was made by Workers' Voice.,medium,Josh Mandel had a political campaign.,low,Josh Mandel’s campaign is under FBI investigation.,high,95,Likely false,"Reports indicated an FBI inquiry, but a formal 'investigation' was never officially confirmed by the FBI.",False
24,Says CNN reported Queen Elizabeth II died.,Facebook posts,models/gemini-2.5-pro,CNN reported Queen Elizabeth II died.,high,The statement originated from Facebook posts.,high,Queen Elizabeth II died.,high,CNN reported Queen Elizabeth II died.,high,98,Verified,"CNN extensively reported the death of Queen Elizabeth II on September 8, 2022, along with other outlets.",False
25,"When Mitt Romney chose Paul Ryan as his vice-presidential running mate, ""that was the end"" of Romney’s chances to win.",Donald Trump,models/gemini-2.5-pro,Mitt Romney chose Paul Ryan as his vice-presidential running mate.,high,Mitt Romney was a candidate in the 2012 presidential election.,high,Mitt Romney did not win the 2012 presidential election.,high,Mitt Romney chose Paul Ryan as his vice-presidential running mate.,high,100,Likely false,Polling data from 2012 does not show Romney's chances ending after choosing Paul Ryan.,False
26,"""If you're a black woman, you're 320% more likely to die from complications in childbirth.""",Andrew Yang,models/gemini-2.5-pro,There are complications in childbirth that can lead to death.,low,Black women are more likely to die from complications in childbirth.,medium,The increased likelihood for black women is 320%.,high,The increased likelihood for black women is 320%.,high,65,Likely false,"CDC data shows the disparity is large but closer to 200%, not 320% more likely.",True
27,"""Any votes counted after midnight"" on Election Day in Michigan ""are fraud.""",Viral image,models/gemini-2.5-pro,Votes are counted in Michigan after midnight on Election Day.,high,Votes counted after midnight on Election Day in Michigan are legally considered fraud.,high,Michigan law requires vote counting to stop at midnight on Election Day.,high,Votes are counted in Michigan after midnight on Election Day.,high,100,Likely false,Michigan election law allows for vote counting to continue after midnight; it is a standard procedure.,False
28,"As Dane County executive, Kathleen Falk raised property taxes by ""millions of dollars every year"" and approved the second highest increase in the state in 2010.",Rebecca Kleefisch,models/gemini-2.5-pro,Kathleen Falk was Dane County executive.,low,"As Dane County executive, Kathleen Falk raised property taxes by millions of dollars every year.",high,"In 2010, Dane County had the second-highest property tax increase in the state.",high,"As Dane County executive, Kathleen Falk raised property taxes by millions of dollars every year.",high,95,Verified,State data confirms Dane County had the second-highest property tax levy increase in Wisconsin in 2010.,True
29,"If Joe Biden can’t serve his full term, Kamala Harris ""cannot by constitutional law become president.""",Facebook posts,models/gemini-2.5-pro,Kamala Harris cannot by constitutional law become president.,high,The U.S. Constitution has laws regarding presidential succession.,high,Kamala Harris is the current Vice President.,low,Kamala Harris cannot by constitutional law become president.,high,0,Likely false,The 25th Amendment explicitly states the Vice President becomes President if the office is vacated.,False
30,"Says ""Ruth Bader Ginsburg was nominated and confirmed 43 days before an election.""",Facebook posts,models/gemini-2.5-pro,Ruth Bader Ginsburg was nominated to the Supreme Court.,low,Ruth Bader Ginsburg was confirmed to the Supreme Court.,low,Her confirmation was 43 days before an election.,high,Her confirmation was 43 days before an election.,high,100,Likely false,"Ginsburg was confirmed in August 1993, not within 43 days of a federal election.",False
31,"About 800 people refused to get a drug screening because they are ""out there on drugs.""",Paige Kreegel,models/gemini-2.5-pro,A drug screening was required for a group of people.,low,About 800 people refused to get a drug screening.,high,The refusal was because they are 'out there on drugs.',medium,About 800 people refused to get a drug screening.,high,15,Likely false,"The number is an inference, not a direct count of people who refused a drug test.",False
