id,statement,statement_originator,model,fact1,fact1_label,fact2,fact2_label,fact3,fact3_label,chosen_fact,chosen_fact_label,chosen_fact_score,statement_verification_label,statement_verification_justification,original_true_false
1,"""Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasn’t had an impact.""",Ron Johnson,meta-llama/llama-3.1-8b-instruct,95 percent of Wisconsinites were covered by insurance prior to Obamacare,high,95 percent of Wisconsinites were covered by insurance after Obamacare,high,Obamacare had no impact on insurance coverage in Wisconsin,low,95 percent of Wisconsinites were covered by insurance prior to Obamacare,high,80,Likely false,Contradicts data showing increased insurance coverage after Obamacare,False
2,"""CDC officials admit more hospitalizations of young people from vaccine than from the actual COVID virus.""",Instagram posts,meta-llama/llama-3.1-8b-instruct,CDC officials admit more hospitalizations of young people from vaccine than from the actual COVID virus.,low,CDC officials admit hospitalizations of young people from vaccine are higher than from COVID virus.,medium,Hospitalizations of young people from vaccine are higher than from COVID virus.,high,Hospitalizations of young people from vaccine are higher than from COVID virus.,high,80,Likely false,CDC data shows vaccine-related hospitalizations are lower than COVID-19 hospitalizations.,False
3,"The Texas leg of the Keystone pipeline ""has already created 4,800 jobs in just the year it's been up and running.""",John Cornyn,meta-llama/llama-3.1-8b-instruct,The Texas leg of the Keystone pipeline exists.,high,The Keystone pipeline has been up and running for a year.,high,"4,800 jobs have been created in Texas due to the Keystone pipeline.",medium,The Texas leg of the Keystone pipeline exists.,high,60,Uncertain,"Claim of 4,800 jobs created is not independently verifiable.",False
4,"""When you look for a job, you can't find it and you give up. You are now considered statistically employed.""",Donald Trump,meta-llama/llama-3.1-8b-instruct,You can't find a job when looking for one.,low,You give up looking for a job.,low,Being statistically employed is a thing.,medium,Being statistically employed is a thing.,medium,80,Verified,"This is a real economic concept, often used in labor statistics.",False
5,"""Creeping defense commitments in (the Middle East) and globally now consume over half the U.S. discretionary budget annually.""",Marcy Kaptur,meta-llama/llama-3.1-8b-instruct,Creeping defense commitments consume over half the U.S. discretionary budget annually.,high,Defense commitments are increasing globally.,medium,The U.S. discretionary budget is consumed by various factors.,low,Creeping defense commitments consume over half the U.S. discretionary budget annually.,high,80,Verified,"According to the Congressional Budget Office, defense spending has consistently exceeded 50% of discretionary spending since 2007.",True
6,"As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""",Bill Richardson,meta-llama/llama-3.1-8b-instruct,Bill Richardson was secretary of the Department of Energy under former President Bill Clinton,high,Bill Richardson created reserves of home heating oil,medium,Bill Richardson was secretary of the Department of Energy,high,Bill Richardson was secretary of the Department of Energy under former President Bill Clinton,high,80,Verified,Bill Richardson's official biography confirms his tenure as Energy Secretary,True
7,"""Due to the large number of people who will refuse the forthcoming COVID-19 vaccine because it will include tracking microchips, the Gates Foundation is now spending billions to ensure that all medical and dental injections and procedures include the chips.""",Facebook posts,meta-llama/llama-3.1-8b-instruct,COVID-19 vaccine will include tracking microchips,high,Gates Foundation is spending billions on medical and dental injections and procedures,medium,people will refuse the COVID-19 vaccine,high,COVID-19 vaccine will include tracking microchips,high,80,Likely false,There is no credible evidence to support the claim that COVID-19 vaccines contain tracking microchips.,False
8,"German chemist Andreas Noack was ""assassinated just hours after publishing the secret of the vax by government operatives.""",Facebook posts,meta-llama/llama-3.1-8b-instruct,Andreas Noack was a German chemist.,low,Andreas Noack was assassinated.,medium,Government operatives were involved in his assassination.,high,Government operatives were involved in his assassination.,high,80,Likely false,There is no credible evidence to support this claim.,False
9,"Says Merrick Garland is investigating Donald Trump’s ""tax evasion case.""",Facebook posts,meta-llama/llama-3.1-8b-instruct,Merrick Garland is investigating Donald Trump,high,Donald Trump has a tax evasion case,medium,Merrick Garland is a judge,high,Merrick Garland is investigating Donald Trump,high,80,Verified,"Merrick Garland is the Attorney General, and he has been investigating Trump's finances.",False
10,"""I had prostate cancer, five, six years ago. My chance of surviving prostate cancer, and thank God I was cured of it, in the United States, 82%. My chances of surviving prostate cancer in England, only 44% under socialized medicine.""",Rudy Giuliani,meta-llama/llama-3.1-8b-instruct,Rudy Giuliani had prostate cancer,high,Rudy Giuliani survived prostate cancer,high,Prostate cancer survival rate in the US is 82%,high,Rudy Giuliani had prostate cancer,high,90,Verified,"According to the American Cancer Society, the 5-year survival rate for prostate cancer in the US is around 92%.",False
11,Says 11 soccer players on the U.S. Men’s National Team are immigrants.,Nancy Pelosi,meta-llama/llama-3.1-8b-instruct,11 soccer players on the U.S. Men's National Team are immigrants.,high,The U.S. Men's National Team exists.,low,There are 11 players on the U.S. Men's National Team.,medium,11 soccer players on the U.S. Men's National Team are immigrants.,high,80,Verified,This can be verified through the U.S. Soccer Federation's official roster.,False
